variable_code,variable_label,variable_type,preselected
PWMET98E,Place of work: detailed urban/rural categories,P,False
PWLMA,Place of work: labor market area,P,False
PWCZ,Place of work: LMA commuting zone,P,False
TRANWORK,Means of transportation to work,P,False
CARPOOL,Carpooling,P,False
RIDERS,Vehicle occupancy,P,False
TRANTIME,Travel time to work,P,False
DEPARTS,Time of departure for work,P,False
ARRIVES,Time of arrival at work,P,False
YRSHI,Years in Hawaii,P,False
YRIMMIHI,Year of migration to Hawaii,P,False
SPEAKHAW,Speaks Hawaiian,P,False
ITAX,"Tax status, Indian schedules",P,False
ALLTYR,"Year of allotment, Indian schedules",P,False
EDATTEND,"Attended educational institution, Indian schedules",P,False
EDINST,"State of educational institution, Indian schedules",P,False
POLYGMY,"Living in polygamous marriage, Indian schedules",P,False
POLYSIS,"Polygamous wives are sisters, Indian schedules",P,False
BLOODB,"Percentage of black blood, Indian schedules",P,False
BLOODI,"Percentage of Indian blood, Indian schedules",P,False
BLOODW,"Percentage of white blood, Indian schedules",P,False
YRAK,Year of migration to Alaska,P,False
MOAK,Month of migration to Alaska,P,False
HOMESTAT,"State of origin, Alaskan schedules",P,False
HOMECNTY,"County of origin, Alaskan schedules",P,False
HOMEMCD,"Minor civil division of origin, Alaskan schedules",P,False
HOMECITY,"City of origin, Alaskan schedules",P,False
MOUNEAK,"Months unemployed last year, Alaskan schedules",P,False
VERSIONHIST,Release version for historical full counts ,P,True
NAMELAST,Last name,P,False
NAMEFRST,First name,P,False
HISTID,Consistent historical data person identifier ,P,True
SURSIM,Surname similarity,P,False
INAME,"Second name, Indian schedules",P,False
PRTITLE,Puerto Rican title,P,False
RELSTR,"Relationship to household head, alphabetic string",P,False
BPLSTR,"Birthplace, alphabetic string",P,False
MBPLSTR,"Mother's birthplace, alphabetic string",P,False
FBPLSTR,"Father's birthplace, alphabetic string",P,False
MTONGSTR,"Mother tongue, alphabetic string",P,False
OCCSTR,"Occupation, alphabetic string",P,False
UOCCSTR,"Usual occupation, alphabetic string",P,False
INDSTR,"Industry, alphabetic string",P,False
UINDSTR,"Usual industry, alphabetic string",P,False
SICKSTR,"Sickness, alphabetic string",P,False
PFARMSCH,Person received farm schedule,P,False
PERNUM80,"Person number, before large group quarters were split up, 1880 100%",P,False
MOMNO,"Mother number, alternate 1910 linking variable",P,False
MOMLNKWT,"Weight of mother link, alternate 1910 linking variable",P,False
MOMLKREA,"Reason for mother link, alternate 1910 linking variable",P,False
WIFENO,"Wife number, alternate 1910 linking variable",P,False
WIFLNKWT,"Weight of wife link, alternate 1910 linking variable",P,False
WIFLKREA,"Reason for wife link, alternate 1910 linking variable",P,False
MCIT5STR,"City of residence 5 years ago, alphabetic string",P,False
MCNY5STR,"County of residence 5 years ago, alphabetic string",P,False
MST5STR,"State of residence 5 years ago, alphabetic string",P,False
HIK,Historical identification key,P,False
LINK1850,Historical identification key flag for 1850,P,False
LINK1860,Historical identification key flag for 1860,P,False
LINK1870,Historical identification key flag for 1870,P,False
LINK1880,Historical identification key flag for 1880,P,False
LINK1900,Historical identification key flag for 1900,P,False
LINK1910,Historical identification key flag for 1910,P,False
LINK1920,Historical identification key flag for 1920,P,False
LINK1930,Historical identification key flag for 1930,P,False
LINK1940,Historical identification key flag for 1940,P,False
VERSIONHIK,Release version for HIK,P,False
LNKLIFEM,LIFE-M linking variable,P,False
GCHOUSE,Own grandchildren living in household,P,False
GCMONTHS,Months responsible for grandchildren,P,False
GCRESPON,Responsible for grandchildren,P,False
PAUPER,Pauper,P,False
CRIME,Crime,P,False
VOTE,Denied the vote,P,False
SSENROLL,Social Security enrollment,P,False
RACESING,Race: Single race identification (old version),P,False
PROBAI,Probability of American Indian race response,P,False
PROBAPI,Probability of Asian/Pacific Islander race response,P,False
PROBBLK,Probability of black race response,P,False
PROBOTH,Probability of 'other race' race response,P,False
PROBWHT,Probability of white race response,P,False
